#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	2.2139815999267203e+46	1.1620057735453015e+46	-2.1981323608033312e+46	3.4814080248344437e+46	-8.0076872102261995e+46	3.0520545958297810e+46	1.8776938569679634e-06	4.3362910662785548e-07	1.6229338062738259e-14	3.7479556846772567e-15	1.2841110568444260e+20	5.5377785490119647e+19	-1.6457808470088499e+19	1.1638381735888640e+20	-1.4223868187398459e+20	7.2127731468069134e+19
6.0000000000000000e+00	1.9470899437951417e+47	5.2442769580002377e+46	-9.8362366823788774e+46	8.9844777819600107e+46	-2.7227560233431297e+47	6.7284148567691346e+46	5.2251265334552274e-06	1.0283301624946879e-06	4.5161965363704863e-14	8.8880931176852706e-15	4.2096343977359829e+20	1.0001191609491028e+20	4.8825288934496043e+19	1.1557443817839077e+20	-3.2708170057163951e+20	1.0533877062835331e+20
8.0000000000000000e+00	4.0835909290172335e+47	9.1894265050767877e+46	-1.2503758556601870e+47	1.7630625192198290e+47	-5.8252069801201064e+47	1.3063263789242115e+47	1.1561643750316124e-05	1.6144874676660567e-06	9.9929934951066279e-14	1.3954384956617400e-14	5.5228954288465655e+20	1.0869993079450116e+20	1.3145212616232213e+20	1.9084380244719924e+20	-5.1540108625797054e+20	7.9876438039377215e+19
1.0000000000000000e+01	1.2622742830278285e+48	1.5230267677358004e+47	-6.7136524466841935e+46	2.2509080774754813e+47	-1.2241379943990519e+48	1.3012266604306680e+47	2.1616403035152681e-05	1.5901588471354818e-06	1.8683552233822971e-13	1.3744107117274437e-14	1.4654597701123286e+21	1.5351397965161690e+20	1.5992940895283171e+20	2.3633794392170568e+20	-1.3141190492927052e+21	1.0854913293072748e+20
1.2000000000000000e+01	1.6294493245775218e+48	1.9743738021806836e+47	1.7682419868091063e+47	2.8416774310564243e+47	-1.9940702568647177e+48	2.1679045610803240e+47	3.2493324815335133e-05	2.2939510380768759e-06	2.8084724847637056e-13	1.9827144216382337e-14	1.6504795438549170e+21	1.6275002821765032e+20	4.3854352630008421e+20	2.6901257924343189e+20	-1.8194219120536118e+21	1.5078928457226482e+20
1.4000000000000000e+01	2.1619834889940430e+48	2.2572207152037119e+47	6.0143749260214733e+47	2.7357746063673583e+47	-2.1127522838977189e+48	2.0689103699358627e+47	3.4567865668559347e-05	2.3436242082057761e-06	2.9877798021253539e-13	2.0256480802683796e-14	2.2697895943666218e+21	1.8622618453513264e+20	7.2623167158667117e+20	2.9223988683038058e+20	-2.2416607615585031e+21	1.5222814611936248e+20
1.6000000000000000e+01	2.7438628178335136e+48	2.6514610500178241e+47	1.3986568085091342e+48	3.2421896194633299e+47	-2.8320031242884671e+48	2.4507288483299274e+47	4.8298963242066504e-05	2.7040031509918134e-06	4.1745900143754933e-13	2.3371318544450225e-14	3.1092465446223138e+21	2.1730883109042517e+20	1.4356260436767883e+21	3.5210918363740275e+20	-3.1108121184963322e+21	2.1792781449983161e+20
1.8000000000000000e+01	3.2028388637089178e+48	3.3494474700811184e+47	1.3940859742964338e+48	2.9801733187446922e+47	-3.0008194995962987e+48	2.5599266466196319e+47	4.7791327362981094e-05	3.1080163915227921e-06	4.1307138826840582e-13	2.6863297515392524e-14	4.0104961216920578e+21	2.4339821961405058e+20	1.4794306283579030e+21	3.9742708587951627e+20	-3.9329285815006742e+21	2.7626691081472315e+20
2.0000000000000000e+01	3.9614980893666879e+48	4.3888087710365501e+47	3.0298345975969392e+48	4.0486606098802347e+47	-3.3417731489158242e+48	2.6859477779439299e+47	6.1009793087956173e-05	3.9010561859286441e-06	5.2732161501609838e-13	3.3717722092037765e-14	4.9275166358421457e+21	2.9509191671383953e+20	2.7017315770918854e+21	4.6142686974730718e+20	-4.3721521501524234e+21	3.0969696225738942e+20
2.2000000000000000e+01	4.9879313842406619e+48	5.3306879371491137e+47	3.6308950334701620e+48	5.2025131963372656e+47	-3.5270581101761595e+48	2.8758593105766871e+47	6.6630527875634064e-05	4.3484820159160022e-06	5.7590291312905002e-13	3.7584926016638975e-14	6.3042930243161345e+21	3.2741240437255406e+20	3.1465473437528422e+21	5.6908096588217549e+20	-5.2796392997182159e+21	3.8695022958973819e+20
2.4000000000000000e+01	4.8448554594265473e+48	4.8894820906820091e+47	5.0484335313785091e+48	6.0263141266202296e+47	-3.5411523848594399e+48	2.8381692908386352e+47	7.3610656658346996e-05	4.5646464422615172e-06	6.3623376488942293e-13	3.9453284662688000e-14	7.4825992219323793e+21	3.9800114151058466e+20	4.4029634001363261e+21	6.7353576299885691e+20	-6.2720405657543456e+21	4.6013865805220151e+20
2.6000000000000000e+01	5.9090783000414866e+48	6.5845508668331238e+47	6.0257866954024442e+48	7.3109929815265711e+47	-3.2329462891759985e+48	3.1885027969114200e+47	7.0675817592778009e-05	4.8530093059746217e-06	6.1086727866585863e-13	4.1945670938849311e-14	7.8808410464255413e+21	4.4306847039759889e+20	4.8495577340577464e+21	7.4167394323446602e+20	-5.9070236762668416e+21	4.7303069349492457e+20
2.8000000000000000e+01	5.6327289080586109e+48	5.8062584385538049e+47	5.8792239722727558e+48	7.0407474820450150e+47	-3.4669451150164056e+48	3.1029850358936750e+47	7.2412672099104273e-05	4.4965929228883493e-06	6.2587930996390793e-13	3.8865082508131428e-14	9.3228315532890263e+21	5.1985143549854319e+20	6.2997642336728819e+21	8.4977954436870531e+20	-7.8505264910726710e+21	5.7456180510615175e+20
3.0000000000000000e+01	6.9700212765855804e+48	6.2935956981464231e+47	6.9452591615007761e+48	7.6178108380526382e+47	-3.5059875840395332e+48	3.0263132141666887e+47	7.5400960165525108e-05	4.3033990601654380e-06	6.5170776814350887e-13	3.7195263704527657e-14	1.1119584990298594e+22	6.0493069416850443e+20	7.7636025063172515e+21	1.0214181173048663e+21	-8.8180614863306946e+21	5.9615145358428275e+20
3.2000000000000000e+01	6.0364350576386611e+48	5.5148621037572808e+47	6.9115419619129514e+48	7.4871234023903451e+47	-3.5116984060191363e+48	3.3531535436119857e+47	6.5980590630738492e-05	3.7909545004957857e-06	5.7028535666326429e-13	3.2766088007740063e-14	1.2124719331335178e+22	6.6736653803863763e+20	9.3546530680717967e+21	1.1275525265587769e+21	-9.8453217833714817e+21	6.9767532927597989e+20
3.4000000000000000e+01	7.0292730522492792e+48	6.4449460819546981e+47	7.0347926903459610e+48	7.3128594777337725e+47	-3.4838120382293631e+48	3.1629135421062154e+47	6.9840437931521839e-05	4.0796695531225793e-06	6.0364690092272895e-13	3.5261518333345845e-14	1.4131588245133516e+22	7.6022494862377432e+20	1.1121822049648106e+22	1.2419037245489836e+21	-1.0799511632823009e+22	6.9781964615269391e+20
3.6000000000000000e+01	6.8295708875329166e+48	6.4447082333626830e+47	7.2023279293369460e+48	8.5289140551176695e+47	-3.6307678806201616e+48	3.8018600642674538e+47	6.8274590353668027e-05	4.2086393662989659e-06	5.9011292167397882e-13	3.6376233967185963e-14	1.5848818596842658e+22	8.2955232248798681e+20	1.2341870771146750e+22	1.3717508569745025e+21	-1.2789043426337803e+22	7.9730376663467636e+20
3.8000000000000000e+01	7.8092399514883716e+48	6.8734918572244636e+47	8.3645006032081276e+48	8.4797071061328122e+47	-3.9986565721194623e+48	3.9522446272526754e+47	7.5908190609154361e-05	4.4129692071318133e-06	6.5609187704114587e-13	3.8142303580118797e-14	1.7688482025938530e+22	8.8589525212019098e+20	1.3480025633071724e+22	1.4903770409166116e+21	-1.2828795354970895e+22	8.1415139774122059e+20
4.0000000000000000e+01	7.0192957670573152e+48	6.2277488327686618e+47	8.3841603692421665e+48	8.7061206234148527e+47	-4.0592390759672439e+48	3.9765055276099120e+47	6.7393993313745300e-05	3.6307828124752600e-06	5.8250171977068764e-13	3.1381687423311408e-14	1.8587416504815938e+22	9.7823627873796542e+20	1.4927184729996872e+22	1.5344614049761397e+21	-1.5224799413056464e+22	8.8930773626034415e+20
4.2000000000000000e+01	9.0930538862995702e+48	6.8559655816434893e+47	1.0145860409770490e+49	1.0435837995487287e+48	-4.8591473862430281e+48	5.0201596566534229e+47	8.4164590406529360e-05	4.3387254452377625e-06	7.2745383149153470e-13	3.7500597741674153e-14	2.2267978965937870e+22	1.0643249685976352e+21	1.6707618074174029e+22	1.6783444441367364e+21	-1.6804864273930674e+22	9.7759836143587820e+20
4.4000000000000000e+01	8.7258361910326830e+48	6.3870082989076439e+47	1.1888859197385846e+49	1.1120687361918406e+48	-5.6090440420586293e+48	5.5251457065150457e+47	8.0247580738859175e-05	3.8897595091071547e-06	6.9359821980290467e-13	3.3620082326939165e-14	2.4862508858362416e+22	1.1697429316585770e+21	1.9918361950272686e+22	1.7707376768631452e+21	-1.9728122098460094e+22	1.1004129131786534e+21
4.6000000000000000e+01	9.3810080490984294e+48	6.4796379144294169e+47	1.1728077550220164e+49	1.1324738448286339e+48	-5.7865627440503012e+48	5.8804181815878368e+47	8.6915796670602592e-05	4.1106065817969150e-06	7.5123313735349645e-13	3.5528914157829781e-14	2.6194953901879471e+22	1.2250645770480344e+21	1.9336347209798882e+22	1.8522094866898661e+21	-1.9713644451708044e+22	1.1203840434105921e+21
