#	RadiusAU	AngularMomentumX	AngularMomentumX_std	AngularMomentumY	AngularMomentumY_std	AngularMomentumZ	AngularMomentumZ_std	CellMassMsun	CellMassMsun_std	Density	Density_std	SpecificAngularMomentumX	SpecificAngularMomentumX_std	SpecificAngularMomentumY	SpecificAngularMomentumY_std	SpecificAngularMomentumZ	SpecificAngularMomentumZ_std	
4.0000000000000000e+00	-1.9411364767007122e+47	3.8565581154007394e+47	1.1003865135800030e+46	1.6346188028967568e+47	2.8798864578158398e+47	2.2860340259135591e+47	8.3993085556057421e-06	1.1127905677875117e-06	7.2597147578835137e-14	9.6181037449909036e-15	-4.5038382546062156e+19	2.4446406040238880e+20	1.2489382206109440e+20	1.0990459723533966e+20	-6.6060900804881838e+18	1.4317230515344386e+20
6.0000000000000000e+00	5.8004880935054208e+47	5.4715228565743380e+47	-5.2148283698572694e+47	4.8453376756542981e+47	1.4713159938336657e+48	7.2213664053689921e+47	1.7106252716513330e-05	2.3568771871383469e-06	1.4785326015350879e-13	2.0371029334989452e-14	3.0228037069894150e+20	2.6123735403365348e+20	2.3104742642540203e+20	2.5553731219542622e+20	4.6976152460437758e+19	3.1459528411496782e+20
8.0000000000000000e+00	1.2560060536345238e+48	1.5142736633016872e+48	-8.7779329695620218e+47	7.5738620152633413e+47	3.5260266120522112e+48	1.2729810139961115e+48	4.4677009591515088e-05	4.8782744509574359e-06	3.8615362648292940e-13	4.2164043373529512e-14	4.4766042971159927e+20	5.2480661456207426e+20	2.3696962303202198e+20	2.4971393983888232e+20	3.9705625261161146e+20	3.3348417154643231e+20
1.0000000000000000e+01	-5.1084009475731216e+46	1.4588263418136676e+48	-9.1575831369476541e+47	1.0677296032380559e+48	7.6851414779626105e+48	1.9880766597574787e+48	5.9517060870939060e-05	5.6545799620565598e-06	5.1441958857701148e-13	4.8873829706823924e-14	5.4915820245264196e+19	5.1181322312294734e+20	1.0583909576367047e+21	4.3898451972308553e+20	9.2180405717096582e+20	5.5027787724059240e+20
1.2000000000000000e+01	1.3220440218468921e+48	2.4473848750487068e+48	-1.4302457022413346e+48	1.3661686598683259e+48	1.2441801404678621e+49	2.8526842623017498e+48	1.0132638744012585e-04	9.3317141791132354e-06	8.7578717389916683e-13	8.0656142936010444e-14	3.7010033859237655e+20	7.4227039786277745e+20	1.2846585016531603e+21	4.7291311468653681e+20	1.6301710749112001e+21	5.6166900662379741e+20
1.4000000000000000e+01	3.2778195088506836e+48	2.5295691866789938e+48	-1.7337252856557996e+48	1.5171360365829374e+48	1.4379612565365752e+49	2.8839936673190437e+48	1.0367697740415373e-04	1.0416810029102328e-05	8.9610386132482040e-13	9.0034874892019491e-14	5.4070510918213658e+20	7.4419781522913978e+20	2.2343837151247186e+21	5.9389760319253565e+20	1.9651706148963696e+21	6.9121529227238008e+20
1.6000000000000000e+01	1.9119610386901008e+48	2.8679116783008499e+48	-1.7026826239554038e+48	1.7328504524011347e+48	2.4870427171786015e+49	4.6278989366974985e+48	1.5314880554845948e-04	1.3195809082440656e-05	1.3237002027391313e-12	1.1405440019711122e-13	3.0255327046440636e+20	9.3464711329792393e+20	3.1641458238204569e+21	6.9007785311566797e+20	3.8441981464525941e+21	7.9730224394705909e+20
1.8000000000000000e+01	9.5253871299602415e+48	3.2300541606861706e+48	-3.6394758092116749e+48	1.9541557597873590e+48	2.9503803848810105e+49	4.2319241972436867e+48	1.7616132205969728e-04	1.5583180848331041e-05	1.5226026536095326e-12	1.3468900116056985e-13	2.4215891607877614e+21	9.8969382431008201e+20	4.2441059777977416e+21	8.7737897031658294e+20	4.9511739631566020e+21	9.7639385729833514e+20
2.0000000000000000e+01	5.9140927985098980e+48	3.5445615344710962e+48	-3.0917702265985139e+47	1.8552921255902832e+48	3.7007338748561776e+49	5.9548371704557383e+48	2.1155201258651516e-04	1.6759389337971842e-05	1.8284924975274035e-12	1.4485524052904062e-13	1.2054651217780917e+21	1.1534194173190511e+21	6.0643935326570849e+21	9.3602573695103323e+20	6.9735140219661215e+21	1.0430767623003596e+21
2.2000000000000000e+01	1.2952805262307705e+49	3.5207767189878281e+48	-1.3854781583691999e+48	2.1819277124252205e+48	4.0643367306505018e+49	5.4346619911447907e+48	2.2497773309372918e-04	1.8338300878418547e-05	1.9445340748265145e-12	1.5850213459858090e-13	2.8589443845837208e+21	1.1970468746032925e+21	8.8582469684718511e+21	1.1714776523243110e+21	8.4579303132223053e+21	1.2232966660727827e+21
2.4000000000000000e+01	8.2544170616835473e+48	3.8813146551348168e+48	1.9564894915626599e+48	2.1343965874007364e+48	5.6040658223197909e+49	7.5075845251344182e+48	2.8070066262904554e-04	2.0497755935279044e-05	2.4261601172821786e-12	1.7716679924506949e-13	1.7007678687919944e+21	1.3815294170554892e+21	1.1922207788129042e+22	1.3162646278287348e+21	1.2386822760069014e+22	1.3686955624699404e+21
2.6000000000000000e+01	1.6248312039550153e+49	3.9536260986807864e+48	2.6429328811498267e+47	2.2055200113498380e+48	5.2345860817373971e+49	6.1841427278284548e+48	2.7352073904852168e-04	1.9986155328824586e-05	2.3641023933243929e-12	1.7274491802921531e-13	3.3580749253935613e+21	1.3820581538963590e+21	1.1630466737313918e+22	1.3772838751940179e+21	1.4112200007238105e+22	1.4300006668243456e+21
2.8000000000000000e+01	1.3478320220328233e+49	4.0422976179988228e+48	5.6887720144311080e+48	2.2933434225846902e+48	7.0930349672969748e+49	9.2983298593323098e+48	3.2705178390776766e-04	2.3635549341159150e-05	2.8267834745072312e-12	2.0428746631552048e-13	5.6394095937016677e+21	1.4443283153483942e+21	1.7177288157335791e+22	1.5048032068791493e+21	1.6088638971759015e+22	1.5493517260309906e+21
3.0000000000000000e+01	1.8121349560214428e+49	3.7474748468850593e+48	4.8641148805616708e+48	2.1438217156987074e+48	6.8037598769541683e+49	6.9491638390077013e+48	3.1895769310162896e-04	1.9412293343924028e-05	2.7568243938424809e-12	1.6778489745943826e-13	6.9013768633866424e+21	1.5533111680796396e+21	1.8449009853998301e+22	1.7183434554766359e+21	2.2382197404177361e+22	1.7663291750333670e+21
3.2000000000000000e+01	1.7578152125483867e+49	3.9292259263603368e+48	1.2280872556532381e+49	2.2217768886664032e+48	8.1752832760897160e+49	9.7792715090991975e+48	3.5969796247714022e-04	2.3492294927243690e-05	3.1089518729885539e-12	2.0304928560582384e-13	7.8500683767603580e+21	1.6202012453458527e+21	2.4358966345824842e+22	1.7978006499366622e+21	2.2349038738133825e+22	1.8030823956566015e+21
3.4000000000000000e+01	2.1737361187080728e+49	3.9078680999005471e+48	1.1201902382116853e+49	2.1225471159623365e+48	7.6209471172209886e+49	7.6345971288964939e+48	3.4580310559892944e-04	2.0320850041424685e-05	2.9888554425864318e-12	1.7563776108690598e-13	1.1584795207925351e+22	1.6992905245635592e+21	2.6204694244242684e+22	1.9475934886648317e+21	2.9125879313502665e+22	1.9946207872539739e+21
3.6000000000000000e+01	2.2690390280583605e+49	3.7684064214044014e+48	1.7612741218099086e+49	2.3835528166786776e+48	8.6892160648031650e+49	8.3402697248597071e+48	3.8806614471516428e-04	2.0826358811695437e-05	3.3541445693686205e-12	1.8000698916738272e-13	1.2191837824677115e+22	1.8601920341262323e+21	3.5740108165927745e+22	2.1317516611962955e+21	3.2463533816478171e+22	2.0863885985250510e+21
3.8000000000000000e+01	2.9138913812816572e+49	3.5919909239067764e+48	1.6456020388575182e+49	2.1219321913574556e+48	7.4928497769056702e+49	6.7554840704316394e+48	3.6439551821487406e-04	1.8363831860298717e-05	3.1495539231328452e-12	1.5872280472245081e-13	1.7147771077262794e+22	1.9245138829379882e+21	3.4951146152420115e+22	2.2153175882483255e+21	3.6863623203880199e+22	2.1887953103948467e+21
4.0000000000000000e+01	2.9936744166425572e+49	3.6060980663064630e+48	2.0625059713069053e+49	2.2486123710397996e+48	7.7538881702178511e+49	7.0941723527800005e+48	3.7918089992707309e-04	1.8154568370108722e-05	3.2773473636361750e-12	1.5691409244814754e-13	2.0406557535204742e+22	2.0476507625693032e+21	4.2682079398153201e+22	2.3441767042739552e+21	3.7296324806866121e+22	2.2718498940307350e+21
